Longitude,Latitude,MODE
143.38154,-37.42953,REGIONAL BUS
145.39444,-36.38603,REGIONAL BUS
144.45343,-37.24781,REGIONAL BUS
144.34821,-37.13833,REGIONAL BUS
144.33255,-37.10329,REGIONAL BUS
144.26675,-37.08134,REGIONAL BUS
142.22891,-38.38053,REGIONAL BUS
146.37888,-36.57579,REGIONAL BUS
146.42155,-36.64776,REGIONAL BUS
146.41681,-36.701,REGIONAL BUS
146.41453,-36.76442,REGIONAL BUS
146.43049,-36.79927,REGIONAL BUS
144.21241,-37.05459,REGIONAL BUS
144.52838,-37.35623,REGIONAL BUS
144.2037,-37.0936,REGIONAL BUS
142.09441,-37.76607,REGIONAL BUS
143.15067,-38.22887,REGIONAL BUS
143.58641,-38.34257,REGIONAL BUS
143.76895,-37.59661,REGIONAL BUS
142.2054,-36.73736,REGIONAL BUS
142.20248,-36.73052,REGIONAL BUS
142.20286,-36.72112,REGIONAL BUS
142.19421,-36.71181,REGIONAL BUS
142.18997,-36.71185,REGIONAL BUS
142.18999,-36.71169,REGIONAL BUS
142.18652,-36.71124,REGIONAL BUS
142.18541,-36.71185,REGIONAL BUS
142.18554,-36.71172,REGIONAL BUS
142.1803,-36.71649,REGIONAL BUS
142.18284,-36.71996,REGIONAL BUS
142.18463,-36.71872,REGIONAL BUS
142.18415,-36.71618,REGIONAL BUS
142.18284,-36.71344,REGIONAL BUS
142.18017,-36.71231,REGIONAL BUS
142.18623,-36.71869,REGIONAL BUS
142.19366,-36.71656,REGIONAL BUS
142.20074,-36.70283,REGIONAL BUS
142.20096,-36.70319,REGIONAL BUS
142.20172,-36.69925,REGIONAL BUS
142.20361,-36.69689,REGIONAL BUS
142.20345,-36.697,REGIONAL BUS
142.20559,-36.69808,REGIONAL BUS
142.20493,-36.70133,REGIONAL BUS
142.21215,-36.70432,REGIONAL BUS
142.21221,-36.70446,REGIONAL BUS
142.21685,-36.70431,REGIONAL BUS
142.21661,-36.70444,REGIONAL BUS
142.21758,-36.70599,REGIONAL BUS
142.21552,-36.70759,REGIONAL BUS
143.78344,-38.33619,REGIONAL BUS
142.21419,-36.70871,REGIONAL BUS
142.21246,-36.70993,REGIONAL BUS
142.20918,-36.71162,REGIONAL BUS
142.1878,-36.70966,REGIONAL BUS
142.18969,-36.70908,REGIONAL BUS
142.19325,-36.70652,REGIONAL BUS
142.19588,-36.70267,REGIONAL BUS
142.77297,-37.05821,REGIONAL BUS
142.77216,-37.05658,REGIONAL BUS
142.76723,-37.05563,REGIONAL BUS
142.76822,-37.05347,REGIONAL BUS
142.7708,-37.05319,REGIONAL BUS
142.77082,-37.05091,REGIONAL BUS
142.77004,-37.04835,REGIONAL BUS
142.77225,-37.05028,REGIONAL BUS
142.77414,-37.05264,REGIONAL BUS
142.77516,-37.0539,REGIONAL BUS
142.77732,-37.05299,REGIONAL BUS
142.77906,-37.05196,REGIONAL BUS
142.77796,-37.04972,REGIONAL BUS
142.77952,-37.04835,REGIONAL BUS
142.7814,-37.04732,REGIONAL BUS
142.78174,-37.04512,REGIONAL BUS
142.78357,-37.04708,REGIONAL BUS
142.7861,-37.05006,REGIONAL BUS
142.78674,-37.05158,REGIONAL BUS
142.78447,-37.05363,REGIONAL BUS
142.78635,-37.05597,REGIONAL BUS
142.78382,-37.05586,REGIONAL BUS
142.77961,-37.05908,REGIONAL BUS
142.7769,-37.06068,REGIONAL BUS
142.77406,-37.06152,REGIONAL BUS
142.77172,-37.06084,REGIONAL BUS
142.76887,-37.05987,REGIONAL BUS
142.76543,-37.06042,REGIONAL BUS
142.76176,-37.06028,REGIONAL BUS
142.75851,-37.06052,REGIONAL BUS
142.76065,-37.06232,REGIONAL BUS
142.76325,-37.06335,REGIONAL BUS
142.7639,-37.06613,REGIONAL BUS
142.7668,-37.06594,REGIONAL BUS
142.76513,-37.06375,REGIONAL BUS
142.7679,-37.0639,REGIONAL BUS
142.77182,-37.0654,REGIONAL BUS
142.77469,-37.06609,REGIONAL BUS
142.77714,-37.06526,REGIONAL BUS
142.77765,-37.06329,REGIONAL BUS
142.7811,-37.06378,REGIONAL BUS
142.7838,-37.06378,REGIONAL BUS
142.78857,-37.06605,REGIONAL BUS
142.79157,-37.06748,REGIONAL BUS
142.79276,-37.06492,REGIONAL BUS
142.79217,-37.06362,REGIONAL BUS
142.7908,-37.06301,REGIONAL BUS
142.78821,-37.06125,REGIONAL BUS
142.78702,-37.05963,REGIONAL BUS
146.0138,-36.54229,REGIONAL BUS
146.00897,-36.54352,REGIONAL BUS
146.00691,-36.54468,REGIONAL BUS
145.99896,-36.54777,REGIONAL BUS
147.06467,-38.11144,REGIONAL BUS
147.06299,-38.11171,REGIONAL BUS
147.06675,-38.11358,REGIONAL BUS
147.06703,-38.11368,REGIONAL BUS
147.07015,-38.11124,REGIONAL BUS
147.08269,-38.08785,REGIONAL BUS
147.07656,-38.08777,REGIONAL BUS
147.07861,-38.09275,REGIONAL BUS
147.06848,-38.10977,REGIONAL BUS
147.06819,-38.10995,REGIONAL BUS
147.06828,-38.10605,REGIONAL BUS
147.06777,-38.1014,REGIONAL BUS
147.06806,-38.1013,REGIONAL BUS
147.06836,-38.09554,REGIONAL BUS
147.06855,-38.09561,REGIONAL BUS
147.06673,-38.0921,REGIONAL BUS
147.06686,-38.09192,REGIONAL BUS
147.05959,-38.08746,REGIONAL BUS
147.05692,-38.08884,REGIONAL BUS
147.05605,-38.08675,REGIONAL BUS
147.05561,-38.08488,REGIONAL BUS
147.0712,-38.08103,REGIONAL BUS
147.06906,-38.07972,REGIONAL BUS
147.06728,-38.07874,REGIONAL BUS
147.07057,-38.07965,REGIONAL BUS
147.08735,-38.16254,REGIONAL BUS
147.08752,-38.16273,REGIONAL BUS
147.10007,-38.1654,REGIONAL BUS
147.5687,-38.05735,REGIONAL BUS
147.56874,-38.05748,REGIONAL BUS
147.57661,-38.05067,REGIONAL BUS
147.57703,-38.05051,REGIONAL BUS
147.58093,-38.04681,REGIONAL BUS
147.58083,-38.04707,REGIONAL BUS
147.58704,-38.04541,REGIONAL BUS
147.58711,-38.04549,REGIONAL BUS
147.5916,-38.04129,REGIONAL BUS
147.61226,-38.02798,REGIONAL BUS
147.6031,-38.03359,REGIONAL BUS
145.48883,-38.09745,REGIONAL BUS
145.8971,-37.23494,REGIONAL BUS
145.91339,-37.22979,REGIONAL BUS
144.57823,-37.4905,REGIONAL BUS
144.59714,-37.462,REGIONAL BUS
144.59719,-37.46228,REGIONAL BUS
144.5862,-37.4763,REGIONAL BUS
144.5915,-37.47728,REGIONAL BUS
144.5865,-37.4877,REGIONAL BUS
144.58483,-37.49207,REGIONAL BUS
144.58545,-37.4957,REGIONAL BUS
144.58785,-37.4997,REGIONAL BUS
144.58857,-37.5029,REGIONAL BUS
144.59035,-37.49998,REGIONAL BUS
144.59102,-37.49996,REGIONAL BUS
144.5971,-37.50097,REGIONAL BUS
144.59636,-37.50489,REGIONAL BUS
144.59649,-37.50496,REGIONAL BUS
144.60218,-37.51053,REGIONAL BUS
144.60197,-37.51041,REGIONAL BUS
144.60931,-37.51066,REGIONAL BUS
144.60945,-37.51091,REGIONAL BUS
144.60884,-37.50595,REGIONAL BUS
144.60903,-37.50593,REGIONAL BUS
144.60481,-37.50488,REGIONAL BUS
144.60495,-37.50479,REGIONAL BUS
144.6046,-37.50214,REGIONAL BUS
144.60473,-37.50218,REGIONAL BUS
144.60502,-37.49798,REGIONAL BUS
144.60123,-37.49754,REGIONAL BUS
144.59759,-37.49713,REGIONAL BUS
144.59832,-37.49337,REGIONAL BUS
144.59464,-37.49261,REGIONAL BUS
144.59491,-37.49251,REGIONAL BUS
144.59065,-37.49116,REGIONAL BUS
144.59051,-37.4911,REGIONAL BUS
144.59323,-37.48814,REGIONAL BUS
144.60054,-37.48419,REGIONAL BUS
144.60788,-37.47922,REGIONAL BUS
144.60546,-37.47309,REGIONAL BUS
144.5958,-37.46944,REGIONAL BUS
144.59598,-37.46928,REGIONAL BUS
144.59693,-37.46429,REGIONAL BUS
144.59714,-37.46423,REGIONAL BUS
144.59849,-37.45944,REGIONAL BUS
145.48563,-38.08005,REGIONAL BUS
143.76891,-37.59636,REGIONAL BUS
146.4313,-38.23715,REGIONAL BUS
146.39902,-38.23754,REGIONAL BUS
146.157,-38.4008,REGIONAL BUS
146.53837,-38.19474,REGIONAL BUS
146.53738,-38.1989,REGIONAL BUS
146.38439,-38.2337,REGIONAL BUS
146.38379,-38.23365,REGIONAL BUS
145.49342,-38.07678,REGIONAL BUS
145.49409,-38.0737,REGIONAL BUS
145.49362,-38.07151,REGIONAL BUS
145.4807,-38.07168,REGIONAL BUS
145.47738,-38.07143,REGIONAL BUS
145.46477,-38.06494,REGIONAL BUS
145.46174,-38.06363,REGIONAL BUS
145.43638,-38.06324,REGIONAL BUS
145.41891,-38.06264,REGIONAL BUS
145.41434,-38.06118,REGIONAL BUS
145.40819,-38.05999,REGIONAL BUS
145.40567,-38.05954,REGIONAL BUS
145.39047,-38.05676,REGIONAL BUS
143.82323,-37.53459,REGIONAL BUS
143.83019,-37.53998,REGIONAL BUS
143.83452,-37.5405,REGIONAL BUS
143.84824,-37.56063,REGIONAL BUS
143.85447,-37.56137,REGIONAL BUS
143.8651,-37.5621,REGIONAL BUS
143.86205,-37.56318,REGIONAL BUS
143.83376,-37.55927,REGIONAL BUS
143.82307,-37.53412,REGIONAL BUS
143.89433,-37.42455,REGIONAL BUS
143.88913,-37.41005,REGIONAL BUS
143.88938,-37.41008,REGIONAL BUS
143.89443,-37.42457,REGIONAL BUS
