venue_category_group,Latitude,Longitude,metro_regional_label,sa2_code_2021,nearest_stop_distance_m,distance_band,distance_band_order,access_class,late_night_flag
Limited licence,-38.47038,145.94797,Regional,205031090,960.8,800m+,4,low_access_800m_plus,False
Limited licence,-38.47038,145.94797,Regional,205031090,960.8,800m+,4,low_access_800m_plus,False
Limited licence,-36.36236,142.98682,Regional,215031400,1238.1,800m+,4,low_access_800m_plus,False
Limited licence,-36.36236,142.98682,Regional,215031400,1238.1,800m+,4,low_access_800m_plus,False
Limited licence,-38.19025,145.14538,Metro,214011373,542.4,400-800m,3,moderate_access_400_800m,False
Limited licence,-37.82975,144.94503,Metro,206051511,139.4,0-200m,1,high_access_0_400m,False
Limited licence,-37.85038,145.30681,Metro,211011449,199.6,0-200m,1,high_access_0_400m,False
Limited licence,-38.14241,145.11858,Metro,214011371,333.7,200-400m,2,high_access_0_400m,False
Limited licence,-37.77325,144.99078,Metro,206021500,79.0,0-200m,1,high_access_0_400m,False
Limited licence,-38.37136,142.91463,Regional,217031475,16656.9,800m+,4,low_access_800m_plus,False
Limited licence,-37.75021,142.02293,Regional,217011421,262.7,200-400m,2,high_access_0_400m,False
Limited licence,-38.1745,144.56162,Regional,203031048,566.4,400-800m,3,moderate_access_400_800m,False
Limited licence,-37.8936,145.19171,Metro,212051327,16.7,0-200m,1,high_access_0_400m,False
Limited licence,-35.55848,143.77814,Regional,215031401,7273.0,800m+,4,low_access_800m_plus,False
Limited licence,-37.77157,144.80687,Metro,213011328,411.1,400-800m,3,moderate_access_400_800m,False
Limited licence,-37.753,145.69469,Metro,211051286,136.9,0-200m,1,high_access_0_400m,False
Limited licence,-37.68679,144.88708,Metro,210051245,271.9,200-400m,2,high_access_0_400m,False
Limited licence,-37.89775,145.31609,Metro,211011448,328.2,200-400m,2,high_access_0_400m,False
Limited licence,-37.82962,144.99465,Metro,206071517,292.3,200-400m,2,high_access_0_400m,False
Limited licence,-38.26734,144.54853,Regional,203031490,459.6,400-800m,3,moderate_access_400_800m,False
Limited licence,-36.3967,144.97367,Regional,216011410,778.2,400-800m,3,moderate_access_400_800m,False
Limited licence,-37.95366,147.08057,Regional,205051101,1268.5,800m+,4,low_access_800m_plus,False
Limited licence,-37.82573,145.11504,Metro,207031163,226.2,200-400m,2,high_access_0_400m,False
Limited licence,-37.84092,145.00829,Metro,206061138,8.7,0-200m,1,high_access_0_400m,False
Limited licence,-37.86903,145.26292,Metro,211011447,131.1,0-200m,1,high_access_0_400m,False
Limited licence,-37.69988,145.15194,Metro,209031209,90.1,0-200m,1,high_access_0_400m,False
Limited licence,-36.92233,144.71056,Regional,202021029,142.2,0-200m,1,high_access_0_400m,False
Limited licence,-38.39386,145.15757,Metro,214021379,164.0,0-200m,1,high_access_0_400m,False
Limited licence,-36.25788,142.39643,Regional,215011394,637.4,400-800m,3,moderate_access_400_800m,False
Limited licence,-36.78376,144.24766,Regional,202011022,17.1,0-200m,1,high_access_0_400m,False
Limited licence,-37.04445,143.81678,Regional,201031017,752.7,400-800m,3,moderate_access_400_800m,False
Limited licence,-37.04445,143.81678,Regional,201031017,752.7,400-800m,3,moderate_access_400_800m,False
Limited licence,-37.98771,145.28809,Metro,212021299,1341.2,800m+,4,low_access_800m_plus,False
Limited licence,-37.78875,145.05378,Metro,207011154,472.8,400-800m,3,moderate_access_400_800m,False
Limited licence,-37.2035,145.05674,Regional,204011056,1614.1,800m+,4,low_access_800m_plus,False
Limited licence,-37.63557,144.56922,Regional,213041576,3322.7,800m+,4,low_access_800m_plus,False
Limited licence,-37.78464,145.10141,Metro,207021157,247.9,200-400m,2,high_access_0_400m,False
Limited licence,-37.80953,145.15053,Metro,207031161,106.6,0-200m,1,high_access_0_400m,False
Limited licence,-38.27334,144.49345,Regional,203031489,252.3,200-400m,2,high_access_0_400m,False
Limited licence,-34.23419,142.16644,Regional,215021395,239.1,200-400m,2,high_access_0_400m,False
Limited licence,-37.82732,145.2098,Metro,211041270,398.6,200-400m,2,high_access_0_400m,False
Limited licence,-37.89034,145.28619,Metro,211011448,338.3,200-400m,2,high_access_0_400m,False
Limited licence,-36.89807,145.72409,Regional,204011055,11135.8,800m+,4,low_access_800m_plus,False
Limited licence,-37.90661,145.09863,Metro,212051326,565.1,400-800m,3,moderate_access_400_800m,False
Limited licence,-38.33326,141.60724,Regional,217011422,263.3,200-400m,2,high_access_0_400m,False
Limited licence,-36.75941,144.31854,Regional,202011020,184.5,0-200m,1,high_access_0_400m,False
Limited licence,-38.36238,145.11747,Metro,214021379,1890.1,800m+,4,low_access_800m_plus,False
Limited licence,-37.85869,141.80455,Regional,217011423,9580.1,800m+,4,low_access_800m_plus,False
Limited licence,-37.73277,142.02626,Regional,217011421,406.4,400-800m,3,moderate_access_400_800m,False
Limited licence,-37.87156,145.0845,Metro,207011146,696.4,400-800m,3,moderate_access_400_800m,False
