sa2_code,sa2_name,region_type,active_venues_2023,active_venues_2025,venues_within_400m_pt_2023,total_venues_2023,access_rate_pct,venue_growth_rate_pct
205011077,Mount Baw Baw Region,Regional,42,42,0,42,0.0,0.0
217041477,Moyne - East,Regional,28,30,16,28,57.1,7.1
217041478,Moyne - West,Regional,70,66,52,70,74.3,-5.7
204031071,Myrtleford,Regional,48,42,19,48,39.6,-12.5
204011058,Nagambie,Regional,55,55,17,55,30.9,0.0
203021045,Newcomb - Moolap,Regional,24,25,24,24,100.0,4.2
203021046,Newtown (Vic.),Regional,40,42,33,40,82.5,5.0
215011390,Nhill Region,Regional,44,44,29,44,65.9,0.0
203021488,Norlane,Regional,25,22,24,25,96.0,-12.0
203021047,North Geelong - Bell Park,Regional,44,40,39,44,88.6,-9.1
216021413,Numurkah,Regional,59,57,29,59,49.2,-3.4
203031490,Ocean Grove,Regional,64,69,44,64,68.8,7.8
205021085,Orbost,Regional,42,41,26,42,61.9,-2.4
217031476,Otway,Regional,64,60,39,64,60.9,-6.2
205021086,Paynesville,Regional,18,18,9,18,50.0,0.0
205031091,Phillip Island,Regional,110,105,65,110,59.1,-4.5
203031052,Point Lonsdale - Queenscliff,Regional,58,57,50,58,86.2,-1.7
203031051,Portarlington,Regional,48,50,34,48,70.8,4.2
217011422,Portland,Regional,45,43,39,45,86.7,-4.4
215021399,Red Cliffs,Regional,27,25,17,27,63.0,-7.4
210021234,Riddells Creek,Regional,12,11,8,12,66.7,-8.3
215031403,Robinvale,Regional,12,11,6,12,50.0,-8.3
216011409,Rochester,Regional,14,14,10,14,71.4,0.0
213041359,Rockbank - Mount Cottrell,Regional,17,20,11,17,64.7,17.6
210021235,Romsey,Regional,51,49,22,51,43.1,-3.9
205051102,Rosedale,Regional,21,19,13,21,61.9,-9.5
216011410,Rushworth,Regional,48,44,12,48,25.0,-8.3
204021065,Rutherglen,Regional,54,53,25,54,46.3,-1.9
205051103,Sale,Regional,59,55,52,59,88.1,-6.8
201011484,Sebastopol - Redan,Regional,18,18,18,18,100.0,0.0
204011059,Seymour,Regional,32,33,27,32,84.4,3.1
204011060,Seymour Surrounds,Regional,19,21,8,19,42.1,10.5
216031416,Shepparton - North,Regional,77,76,69,77,89.6,-1.3
216031594,Shepparton - South East,Regional,54,53,49,54,90.7,-1.9
